staff_id,first_name,last_name,email,phone,active,store_id,manager_id,extracted_at,source
1,Fabiola,Jackson,fabiola.jackson@bikes.shop,Not Available,1,Not Available,Not Available,2025-12-17 21:39:39.087426,DataLake
2,Mireya,copeland,mireya.copeland@bikes.shop,(831) 555-5555,1,1.0,1.0,2025-12-17 21:39:39.087426,DataLake
3,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,1.0,2.0,2025-12-17 21:39:39.087426,DataLake
4,Virgie,Wiggins,virgie.wiggins@bikes.shop,(831) 555-5557,1,1.0,2.0,2025-12-17 21:39:39.087426,DataLake
5,Jannette,David,jannette.david@bikes.shop,(516) 379-4444,1,2.0,1.0,2025-12-17 21:39:39.087426,DataLake
6,Marcelene,Boyer,marcelene.boyer@bikes.shop,(516) 379-4445,1,2.0,5.0,2025-12-17 21:39:39.087426,DataLake
7,Venita,daniel,venita.daniel@bikes.shop,Not Available,1,2.0,5.0,2025-12-17 21:39:39.087426,DataLake
8,Kali,Vargas,kali.vargas@bikes.shop,(972) 530-5555,1,3.0,1.0,2025-12-17 21:39:39.087426,DataLake
9,Layla,Terrell,layla.terrell@bikes.shop,(972) 530-5556,1,3.0,7.0,2025-12-17 21:39:39.087426,DataLake
10,Bernardine,Houston,bernardine.houston@bikes.shop,(972) 530-5557,1,3.0,7.0,2025-12-17 21:39:39.087426,DataLake
